id,text
1,I have been feeling much more optimistic about the future these past few months.
2,Estoy muy contento con mi trabajo nuevo y mis compañeros son amables conmigo.
3,My weekends are finally my own again and I spend them hiking with friends.
4,"La familia siempre está primero, no importa lo que pase en la vida."
5,Work has been stressful lately but my manager actually listens when I raise problems.
6,Ayer caminé por el parque y me sentí tranquilo por primera vez en semanas.
7,I started volunteering at the food bank and it gives my week a sense of purpose.
8,Necesitamos ayudar a los que sufren porque es nuestra responsabilidad moral más importante.
9,Moving to a smaller town was the best decision my partner and I ever made.
10,Cada persona merece un trato justo sin importar de dónde venga su familia.
11,Some days I feel like I am just going through the motions without any direction.
12,Mis abuelos me enseñaron el valor del esfuerzo y de la honestidad.
13,My savings finally reached the point where an emergency would not ruin me.
14,La ciudad ha cambiado mucho pero sigue siendo mi hogar querido.
15,I wish I had more time to read books instead of scrolling on my phone.
16,Después de la enfermedad aprendí a valorar cada día como un regalo.
17,The new morning routine with exercise and journaling has changed how my days feel.
18,El respeto a los mayores es una tradición que debemos conservar siempre.
19,Losing my father last year made me rethink what actually matters in life.
20,Trabajo muchas horas pero al final del día me siento orgulloso.
21,I am proud of how my children treat other people with kindness and patience.
22,La lealtad entre amigos verdaderos es lo más valioso que existe.
23,The neighborhood association finally fixed the park and kids play there every evening.
24,Me preocupa que los jóvenes pierdan las costumbres de nuestro pueblo.
25,I keep comparing myself to classmates who seem far more successful than me.
26,Cocinar para mi familia los domingos es mi momento favorito de la semana.
27,Cooking dinner from scratch most nights has become a small daily victory.
28,La honestidad cuesta cara pero dormir tranquilo no tiene precio ninguno.
29,My therapist helped me see that resting is not the same thing as failing.
30,Sueño con volver al pueblo donde nací y abrir una pequeña tienda.
